formula,space_group,formation_energy_per_atom
Sn3Ge2,P-3m1,0.11775143100364645
Sn2Ge2,R-3m,0.2992509707167845
NbNi2,P-3m1,0.11018903623070031
Nb2Ta,P-3m1,-0.006330781241407142
Fe2K,P-3m1,0.9579232594733575
AgK3,R-3m,0.17579287589112313
AuGa2,P-3m1,0.026985614051659706
Fe2Mn3,R-3m,0.12157434332612098
Mo2P2,R-3m,0.13841918608021922
Al3Ga2,P-3m1,0.12318245114662858
Ca2Ge2,R-3m,-0.27791709033361567
K2P2,R-3m,-0.16586858160771678
Ir2Ni3,P-3m1,0.3848854087588677
Cu2K3,R-3m,0.4129029723054035
Fe2As2,R-3m,0.14679364263748163
Cu3Rh,R-3m,0.025036324075760064
Ag2Pb,P-3m1,0.11535514920572965
Cr3Nb,Immm,0.09692279785754465
Al2Pd,I4/mmm,-0.5890005074909356
CrW3,P4/mmm,0.0467321429249381
Sr2W2,R-3m,0.9689714859026317
Ag2K,P-3m1,0.19823602101658336
WAs2,P-3m1,0.05663350415469045
Ga2Sn2,R-3m,0.04299721042714122
Cr2Rh,P-3m1,0.09078041309995417
Ir2Ni,P-3m1,0.19711233930708025
AgAl2,I4/mmm,0.00931272243404043
AlMn2,P-3m1,0.08745850700858544
MnPt2,P-3m1,0.2697436725906807
Pd3Pt2,R-3m,0.15256551908838886
K2V2,R-3m,1.4492613376023162
CuNb3,R-3m,0.26747303642176234
InRh3,R-3m,0.06223899751977413
CrAs3,R-3m,0.16495867254450047
CuSn2,P-3m1,0.10553617362217398
Nb2Pt2,Pmma,-0.6457401466596764
Fe2Pb4,Pnnm,0.4720998800685994
Ni3Sb,P4/mmm,0.044934254023212716
Pd2P2,P-3m1,-0.06704652437578229
Ga6Mn6,P-3m1,0.23748995008527865
Ga2Br2,P-3m1,-0.5398102866578927
P3Br2,R-3m,0.2490337206925048
Ba7Pd6,R-3m,0.15213877706412132
AgPb,R-3m,0.1275801240181318
P24As5,I-43m,0.2436816057725621
Mo3W3,Cm,-0.0025435217114875286
Ca4P2,Pnnm,-0.8954120405437109
Ba4Br,I4/mmm,-0.19486904220788617
KAs3,P4/mmm,0.0965459569694791
Ba2Pd3,P-3m1,-0.4291665774177247
Ga2Nb3,R-3m,0.08067116768703926
Cu3In,R-3m,0.22342048424330407
Au3Ga,R-3m,-0.05657508643520748
Ca18Mo6,Pmmn,0.6779185862039393
Ag6Al6,I4mm,-0.021749214715362914
